date,drug_name,territory,TRx,NRx
2024-12-01,DrugA,East,853.0,325.0
2024-12-08,DrugA,East,885.0,254.0
2024-12-15,DrugA,East,941.0,314.0
2024-12-22,DrugA,East,821.0,306.0
2023-01-01,DrugA,West,1256.0,444.0
2023-01-08,DrugA,West,1128.0,235.0
2023-01-15,DrugA,West,1140.0,291.0
2023-01-22,DrugA,West,1162.0,437.0
2023-01-29,DrugA,West,1194.0,375.0
2023-02-05,DrugA,West,1076.0,426.0
2023-02-12,DrugA,West,1172.0,279.0
2023-02-19,DrugA,West,1168.0,296.0
2023-02-26,DrugA,West,1083.0,302.0
2023-03-05,DrugA,West,1191.0,439.0
2023-03-12,DrugA,West,1241.0,337.0
2023-03-19,DrugA,West,1159.0,290.0
2023-03-26,DrugA,West,1164.0,430.0
2023-04-02,DrugA,West,1156.0,262.0
2023-04-09,DrugA,West,1237.0,320.0
2023-04-16,DrugA,West,1301.0,369.0
2023-04-23,DrugA,West,1241.0,268.0
2023-04-30,DrugA,West,1132.0,227.0
2023-05-07,DrugA,West,1138.0,243.0
2023-05-14,DrugA,West,1214.0,339.0
2023-05-21,DrugA,West,1184.0,340.0
2023-05-28,DrugA,West,1151.0,385.0
2023-06-04,DrugA,West,1115.0,442.0
2023-06-11,DrugA,West,1690.5,543.4303101576093
2023-06-18,DrugA,West,1118.0,232.0
2023-06-25,DrugA,West,1156.0,301.0
2023-07-02,DrugA,West,1015.0,371.0
2023-07-09,DrugA,West,1124.0,285.0
2023-07-16,DrugA,West,1088.0,401.0
2023-07-23,DrugA,West,1105.0,264.0
2023-07-30,DrugA,West,1152.0,262.0
2023-08-06,DrugA,West,1021.0,231.0
2023-08-13,DrugA,West,1043.0,299.0
2023-08-20,DrugA,West,1016.0,354.0
2023-08-27,DrugA,West,996.0,215.0
2023-09-03,DrugA,West,998.0,285.0
2023-09-10,DrugA,West,1003.0,384.0
2023-09-17,DrugA,West,1026.0,296.0
2023-09-24,DrugA,West,1000.0,236.0
2023-10-01,DrugA,West,1005.0,389.0
2023-10-08,DrugA,West,1030.0,341.0
2023-10-15,DrugA,West,1131.0,324.0
2023-10-22,DrugA,West,963.0,215.0
2023-10-29,DrugA,West,1039.0,278.0
2023-11-05,DrugA,West,1068.0,287.0
2023-11-12,DrugA,West,1071.0,313.0
2023-11-19,DrugA,West,1028.0,401.0
2023-11-26,DrugA,West,1066.0,402.0
2023-12-03,DrugA,West,1069.0,329.0
2023-12-10,DrugA,West,1118.0,376.0
2023-12-17,DrugA,West,1120.0,435.0
2023-12-24,DrugA,West,1111.0,415.0
2023-12-31,DrugA,West,1174.0,394.0
2024-01-07,DrugA,West,1154.0,363.0
2024-01-14,DrugA,West,1151.0,419.0
2024-01-21,DrugA,West,1137.0,370.0
2024-01-28,DrugA,West,1187.0,286.0
2024-02-04,DrugA,West,1225.0,312.0
2024-02-11,DrugA,West,1154.0,239.0
2024-02-18,DrugA,West,1127.0,364.0
2024-02-25,DrugA,West,1259.0,349.0
2024-03-03,DrugA,West,1139.0,383.0
2024-03-10,DrugA,West,1147.0,343.0
2024-03-17,DrugA,West,1171.0,396.0
2024-03-24,DrugA,West,1241.0,258.0
2024-03-31,DrugA,West,1206.0,342.0
2024-04-07,DrugA,West,1217.0,346.0
2024-04-14,DrugA,West,1237.0,388.0
2024-04-21,DrugA,West,1290.0,290.0
2024-04-28,DrugA,West,1231.0,307.0
2024-05-05,DrugA,West,1250.0,390.0
2024-05-12,DrugA,West,1202.0,297.0
2024-05-19,DrugA,West,1240.0,307.0
2024-05-26,DrugA,West,1216.0,335.0
2024-06-02,DrugA,West,1146.0,318.0
2024-06-09,DrugA,West,1314.0,341.0
2024-06-16,DrugA,West,1160.0,389.0
2024-06-23,DrugA,West,1122.0,332.0
2024-06-30,DrugA,West,1074.0,234.0
2024-07-07,DrugA,West,1104.0,353.0
2024-07-14,DrugA,West,1020.0,397.0
2024-07-21,DrugA,West,1094.0,390.0
2024-07-28,DrugA,West,1161.0,457.0
2024-08-04,DrugA,West,1080.0,364.0
2024-08-11,DrugA,West,1054.0,387.0
2024-08-18,DrugA,West,1046.0,298.0
2024-08-25,DrugA,West,1009.0,381.0
2024-09-01,DrugA,West,480.0,154.30141903321646
2024-09-08,DrugA,West,943.0,298.0
2024-09-15,DrugA,West,1023.0,381.0
2024-09-22,DrugA,West,1001.0,381.0
2024-09-29,DrugA,West,1038.0,330.0
2024-10-06,DrugA,West,1082.0,320.0
2024-10-13,DrugA,West,970.0,267.0
2024-10-20,DrugA,West,971.0,258.0
2024-10-27,DrugA,West,1068.0,306.0
2024-11-03,DrugA,West,1004.0,315.0
2024-11-10,DrugA,West,965.0,336.0
2024-11-17,DrugA,West,1080.0,377.0
2024-11-24,DrugA,West,1084.0,364.0
2024-12-01,DrugA,West,1041.0,307.0
2024-12-08,DrugA,West,1008.0,218.0
2024-12-15,DrugA,West,962.0,346.0
2024-12-22,DrugA,West,1159.0,458.0
2023-01-01,DrugA,North,984.0,211.0
2023-01-08,DrugA,North,986.0,306.0
2023-01-15,DrugA,North,998.0,325.0
2023-01-22,DrugA,North,1033.0,350.0
2023-01-29,DrugA,North,1127.0,357.0
2023-02-05,DrugA,North,991.0,377.0
2023-02-12,DrugA,North,1148.0,293.0
2023-02-19,DrugA,North,1007.0,239.0
2023-02-26,DrugA,North,948.0,300.0
2023-03-05,DrugA,North,1034.0,223.0
2023-03-12,DrugA,North,1083.0,283.0
2023-03-19,DrugA,North,581.5,186.92973993294868
2023-03-26,DrugA,North,1026.0,392.0
2023-04-02,DrugA,North,1096.0,399.0
2023-04-09,DrugA,North,1005.0,388.0
2023-04-16,DrugA,North,1160.0,433.0
2023-04-23,DrugA,North,1124.0,446.0
2023-04-30,DrugA,North,1036.0,238.0
2023-05-07,DrugA,North,967.0,381.0
2023-05-14,DrugA,North,1113.0,410.0
2023-05-21,DrugA,North,1031.0,291.0
2023-05-28,DrugA,North,1089.0,277.0
2023-06-04,DrugA,North,1017.0,360.0
2023-06-11,DrugA,North,1008.0,392.0
2023-06-18,DrugA,North,972.0,282.0
2023-06-25,DrugA,North,1014.0,229.0
2023-07-02,DrugA,North,977.0,240.0
2023-07-09,DrugA,North,984.0,329.0
2023-07-16,DrugA,North,870.0,193.0
2023-07-23,DrugA,North,999.0,334.0
2023-07-30,DrugA,North,1002.0,304.0
2023-08-06,DrugA,North,920.0,340.0
2023-08-13,DrugA,North,1008.0,378.0
2023-08-20,DrugA,North,984.0,276.0
2023-08-27,DrugA,North,921.0,314.0
2023-09-03,DrugA,North,951.0,230.0
2023-09-10,DrugA,North,931.0,259.0
2023-09-17,DrugA,North,786.0,226.0
2023-09-24,DrugA,North,859.0,260.0
2023-10-01,DrugA,North,907.0,323.0
2023-10-08,DrugA,North,954.0,355.0
2023-10-15,DrugA,North,805.0,314.0
2023-10-22,DrugA,North,793.0,231.0
2023-10-29,DrugA,North,880.0,348.0
2023-11-05,DrugA,North,786.0,256.0
2023-11-12,DrugA,North,892.0,221.0
2023-11-19,DrugA,North,924.0,218.0
2023-11-26,DrugA,North,868.0,233.0
2023-12-03,DrugA,North,922.0,307.0
2023-12-10,DrugA,North,984.0,230.0
2023-12-17,DrugA,North,921.0,216.0
2023-12-24,DrugA,North,920.0,200.0
2023-12-31,DrugA,North,966.0,233.0
2024-01-07,DrugA,North,932.0,254.0
2024-01-14,DrugA,North,1094.0,227.0
2024-01-21,DrugA,North,1009.0,363.0
2024-01-28,DrugA,North,983.0,368.0
2024-02-04,DrugA,North,1039.0,399.0
2024-02-11,DrugA,North,1032.0,372.0
2024-02-18,DrugA,North,1035.0,362.0
2024-02-25,DrugA,North,1027.0,281.0
2024-03-03,DrugA,North,1031.0,306.0
2024-03-10,DrugA,North,989.0,289.0
2024-03-17,DrugA,North,1137.0,397.0
2024-03-24,DrugA,North,1100.0,332.0
2024-03-31,DrugA,North,1087.0,333.0
2024-04-07,DrugA,North,1064.0,326.0
2024-04-14,DrugA,North,1021.0,253.0
2024-04-21,DrugA,North,1027.0,209.0
2024-04-28,DrugA,North,989.0,261.0
2024-05-05,DrugA,North,1022.0,228.0
2024-05-12,DrugA,North,993.0,375.0
2024-05-19,DrugA,North,1123.0,401.0
2024-05-26,DrugA,North,1073.0,321.0
2024-06-02,DrugA,North,1022.0,324.0
2024-06-09,DrugA,North,965.0,336.0
2024-06-16,DrugA,North,944.0,242.0
2024-06-23,DrugA,North,975.0,265.0
2024-06-30,DrugA,North,1019.0,276.0
2024-07-07,DrugA,North,1056.0,419.0
2024-07-14,DrugA,North,879.0,193.0
2024-07-21,DrugA,North,965.0,222.0
2024-07-28,DrugA,North,893.0,212.0
2024-08-04,DrugA,North,891.0,229.0
2024-08-11,DrugA,North,908.0,256.0
2024-08-18,DrugA,North,856.0,339.0
2024-08-25,DrugA,North,878.0,345.0
2024-09-01,DrugA,North,838.0,312.0
2024-09-08,DrugA,North,850.0,199.0
2024-09-15,DrugA,North,912.0,304.0
2024-09-22,DrugA,North,877.0,275.0
2024-09-29,DrugA,North,909.0,232.0
2024-10-06,DrugA,North,839.0,222.0
2024-10-13,DrugA,North,451.5,145.13977227811924
2024-10-20,DrugA,North,796.0,177.0
2024-10-27,DrugA,North,885.0,285.0
2024-11-03,DrugA,North,920.0,212.0
2024-11-10,DrugA,North,813.0,240.0
2024-11-17,DrugA,North,871.0,233.0
2024-11-24,DrugA,North,916.0,207.0
2024-12-01,DrugA,North,974.0,244.0
2024-12-08,DrugA,North,906.0,304.0
2024-12-15,DrugA,North,972.0,286.0
2024-12-22,DrugA,North,1030.0,290.0
2023-01-01,DrugA,South,866.0,335.0
2023-01-08,DrugA,South,981.0,391.0
2023-01-15,DrugA,South,893.0,344.0
2023-01-22,DrugA,South,867.0,298.0
2023-01-29,DrugA,South,967.0,348.0
2023-02-05,DrugA,South,985.0,359.0
2023-02-12,DrugA,South,931.0,304.0
2023-02-19,DrugA,South,934.0,356.0
2023-02-26,DrugA,South,1017.0,342.0
2023-03-05,DrugA,South,896.0,260.0
2023-03-12,DrugA,South,1014.0,329.0
2023-03-19,DrugA,South,1005.0,309.0
2023-03-26,DrugA,South,1092.0,296.0
2023-04-02,DrugA,South,914.0,254.0
2023-04-09,DrugA,South,954.0,234.0
2023-04-16,DrugA,South,992.0,306.0
2023-04-23,DrugA,South,892.0,308.0
2023-04-30,DrugA,South,942.0,319.0
2023-05-07,DrugA,South,1059.0,333.0
2023-05-14,DrugA,South,965.0,385.0
2023-05-21,DrugA,South,999.0,355.0
2023-05-28,DrugA,South,999.0,228.0
2023-06-04,DrugA,South,971.0,290.0
2023-06-11,DrugA,South,882.0,309.0
2023-06-18,DrugA,South,920.0,253.0
2023-06-25,DrugA,South,856.0,249.0
2023-07-02,DrugA,South,894.0,275.0
2023-07-09,DrugA,South,1005.0,298.0
2023-07-16,DrugA,South,1408.5,452.7782264755945
2023-07-23,DrugA,South,833.0,266.0
2023-07-30,DrugA,South,931.0,297.0
2023-08-06,DrugA,South,861.0,314.0
2023-08-13,DrugA,South,820.0,201.0
2023-08-20,DrugA,South,834.0,237.0
2023-08-27,DrugA,South,851.0,325.0
2023-09-03,DrugA,South,729.0,166.0
2023-09-10,DrugA,South,785.0,271.0
2023-09-17,DrugA,South,773.0,246.0
2023-09-24,DrugA,South,853.0,234.0
2023-10-01,DrugA,South,826.0,176.0
2023-10-08,DrugA,South,777.0,181.0
2023-10-15,DrugA,South,772.0,183.0
2023-10-22,DrugA,South,775.0,203.0
2023-10-29,DrugA,South,852.0,209.0
2023-11-05,DrugA,South,731.0,255.0
2023-11-12,DrugA,South,889.0,214.0
2023-11-19,DrugA,South,850.0,189.0
2023-11-26,DrugA,South,902.0,255.0
2023-12-03,DrugA,South,768.0,295.0
2023-12-10,DrugA,South,718.0,228.0
2023-12-17,DrugA,South,892.0,208.0
2023-12-24,DrugA,South,804.0,166.0
2023-12-31,DrugA,South,944.0,241.0
2024-01-07,DrugA,South,870.0,212.0
2024-01-14,DrugA,South,920.0,363.0
2024-01-21,DrugA,South,854.0,249.0
2024-01-28,DrugA,South,994.0,305.0
2024-02-04,DrugA,South,958.0,227.0
2024-02-11,DrugA,South,906.0,253.0
2024-02-18,DrugA,South,911.0,260.0
2024-02-25,DrugA,South,946.0,278.0
2024-03-03,DrugA,South,1555.5,500.0330360545171
2024-03-10,DrugA,South,1040.0,330.0
2024-03-17,DrugA,South,970.0,251.0
2024-03-24,DrugA,South,1003.0,308.0
2024-03-31,DrugA,South,1083.0,321.0
2024-04-07,DrugA,South,1071.0,236.0
2024-04-14,DrugA,South,989.0,264.0
2024-04-21,DrugA,South,992.0,252.0
2024-04-28,DrugA,South,972.0,369.0
2024-05-05,DrugA,South,1046.0,414.0
2024-05-12,DrugA,South,974.0,358.0
2024-05-19,DrugA,South,946.0,293.0
2024-05-26,DrugA,South,1001.0,251.0
2024-06-02,DrugA,South,941.0,300.0
2024-06-09,DrugA,South,858.0,229.0
2024-06-16,DrugA,South,965.0,300.0
2024-06-23,DrugA,South,914.0,314.0
2024-06-30,DrugA,South,956.0,375.0
2024-07-07,DrugA,South,902.0,351.0
2024-07-14,DrugA,South,856.0,226.0
2024-07-21,DrugA,South,805.0,175.0
2024-07-28,DrugA,South,915.0,338.0
2024-08-04,DrugA,South,875.0,196.0
2024-08-11,DrugA,South,844.0,287.0
2024-08-18,DrugA,South,862.0,329.0
2024-08-25,DrugA,South,736.0,268.0
2024-09-01,DrugA,South,861.0,234.0
2024-09-08,DrugA,South,859.0,234.0
2024-09-15,DrugA,South,762.0,283.0
2024-09-22,DrugA,South,776.0,243.0
2024-09-29,DrugA,South,805.0,319.0
2024-10-06,DrugA,South,726.0,215.0
2024-10-13,DrugA,South,789.0,238.0
2024-10-20,DrugA,South,842.0,236.0
2024-10-27,DrugA,South,856.0,208.0
2024-11-03,DrugA,South,759.0,172.0
2024-11-10,DrugA,South,909.0,345.0
2024-11-17,DrugA,South,880.0,321.0
2024-11-24,DrugA,South,892.0,273.0
2024-12-01,DrugA,South,844.0,180.0
2024-12-08,DrugA,South,923.0,259.0
2024-12-15,DrugA,South,958.0,212.0
2024-12-22,DrugA,South,878.0,200.0
